title,token,url,price_toman,mileage_km,year,age,color,body_status,engine_status,chassis_status,gearbox,fuel_type,insurance,brand_model,airbag,tire_quality
تارا اتوماتیک V2,gaC8se_J,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-V2/gaC8se_J,2120000000,54000,1402,3,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,3,تارا اتوماتیک V2,نامشخص,نامشخص
تارا اتومات ۱۴۰۱ درحد صفر,gaBopgvj,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA-%DB%B1%DB%B4%DB%B0%DB%B1-%D8%AF%D8%B1%D8%AD%D8%AF-%D8%B5%D9%81%D8%B1/gaBopgvj,2250000000,17000,1401,4,آبی,خط و خش جزیی,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,4,تارا اتوماتیک V2,نامشخص,نامشخص
تارا ۱۴۰۳ v4,gaH4Bx9N,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%DB%B1%DB%B4%DB%B0%DB%B3-v4/gaH4Bx9N,2530000000,16400,1403,2,مشکی,خط و خش جزیی,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,5,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا V4 برج ۱۰ ۱۴۰۳,gaHkhgqU,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-V4-%D8%A8%D8%B1%D8%AC-%DB%B1%DB%B0-%DB%B1%DB%B4%DB%B0%DB%B3/gaHkhgqU,2550000000,8000,1403,2,تیتانیوم,سالم و بی‌خط و خش,تعیین‌نشده,تعیین‌نشده,اتوماتیک,بنزینی,8,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا v1+ 1405,Qa_vGw1P,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v1-1405/Qa_vGw1P,2260000000,55,1405,0,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,12,تارا v1 پلاس,نامشخص,نامشخص
تارا v1 پلاس صفر خشک,gaHcRJHt,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v1-%D9%BE%D9%84%D8%A7%D8%B3-%D8%B5%D9%81%D8%B1-%D8%AE%D8%B4%DA%A9/gaHcRJHt,2300000000,0,1405,0,سفید,سالم و بی‌خط و خش,تعیین‌نشده,تعیین‌نشده,,بنزینی,,تارا v1 پلاس,نامشخص,نامشخص
تارا v4 سفید lx مدل ۱۴۰۳,gaHYxl2K,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-v4-%D8%B3%D9%81%DB%8C%D8%AF-lx-%D9%85%D8%AF%D9%84-%DB%B1%DB%B4%DB%B0%DB%B3/gaHYxl2K,2475000000,22000,1403,2,سفید,سالم و بی‌خط و خش,سالم,سالم و پلمپ,اتوماتیک,بنزینی,6,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تاراv4مدل 1403,gaEgs_Pc,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7v4%D9%85%D8%AF%D9%84-1403/gaEgs_Pc,2485000000,40000,1403,2,نقره‌ای,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,8,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
تارا وی 2 بیرنگ خاکستری اتوماتیک 1402,gaF4rlKE,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-%D9%88%DB%8C-2-%D8%A8%DB%8C%D8%B1%D9%86%DA%AF-%D8%AE%D8%A7%DA%A9%D8%B3%D8%AA%D8%B1%DB%8C-%D8%A7%D8%AA%D9%88%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-1402/gaF4rlKE,2210000000,27000,1402,3,خاکستری,سالم و بی‌خط و خش,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,4,تارا اتوماتیک V2,نامشخص,نامشخص
تارا V4,gaHEBapX,https://divar.ir/v/%D8%AA%D8%A7%D8%B1%D8%A7-V4/gaHEBapX,2550000000,35000,1403,2,خاکستری,خط و خش جزیی,سالم,سالم و پلمپ,سالم و پلمپ,بنزینی,10,تارا وی 4 ال ایکس TU5P,نامشخص,نامشخص
